region,sex,foreign/Swedish background,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
08 Kalmar county,boys,born in Sweden with one parent born in Sweden and one foreign born parent,1619,1628,1671,1684,1705,1719,1704,1685,1698,1708,1725,1775,1821,1878,1961,2011,2071,2122,2161
08 Kalmar county,boys,born in Sweden with two parents born in Sweden,21815,21507,21108,20639,20180,19712,19098,18478,17975,17512,17234,17050,17006,17091,17148,17208,17223,17191,17219
08 Kalmar county,girls,foreign born,1072,1079,1051,985,1039,1078,1104,1170,1162,1251,1341,1514,1694,2031,2795,2859,2947,2866,2725
08 Kalmar county,girls,born in Sweden with two foreign born parents,947,1035,1051,1076,1134,1173,1207,1326,1365,1410,1421,1449,1527,1659,1824,2057,2225,2389,2577
08 Kalmar county,girls,born in Sweden with one parent born in Sweden and one foreign born parent,1577,1592,1618,1601,1615,1599,1588,1580,1593,1595,1595,1636,1684,1742,1822,1907,1941,1999,2035
08 Kalmar county,girls,born in Sweden with two parents born in Sweden,20721,20362,20072,19676,19154,18689,18062,17570,17090,16649,16473,16261,16266,16284,16256,16321,16367,16359,16385
09 Gotland county,boys,foreign born,153,150,143,132,141,138,144,152,161,156,164,164,174,197,279,332,379,394,383
09 Gotland county,boys,born in Sweden with two foreign born parents,77,74,82,80,80,87,89,88,92,91,89,87,98,101,114,135,152,161,166
09 Gotland county,boys,born in Sweden with one parent born in Sweden and one foreign born parent,376,377,386,383,389,377,381,389,401,400,402,403,394,399,422,427,447,449,460
09 Gotland county,boys,born in Sweden with two parents born in Sweden,5891,5821,5701,5560,5452,5290,5079,4953,4825,4686,4611,4600,4606,4617,4637,4689,4721,4750,4712
09 Gotland county,girls,foreign born,151,142,132,131,125,122,119,139,144,130,138,148,143,179,237,267,305,304,295
09 Gotland county,girls,born in Sweden with two foreign born parents,65,73,80,82,92,95,98,102,103,97,106,101,107,111,113,131,142,152,148
09 Gotland county,girls,born in Sweden with one parent born in Sweden and one foreign born parent,369,372,366,373,369,366,372,391,402,405,412,412,423,432,441,441,464,477,489
09 Gotland county,girls,born in Sweden with two parents born in Sweden,5635,5571,5457,5325,5114,4923,4716,4609,4514,4449,4374,4328,4324,4280,4348,4360,4391,4409,4429
10 Blekinge county,boys,foreign born,699,698,715,713,753,777,843,880,877,882,933,1118,1325,1621,1995,2158,2145,2037,1854
10 Blekinge county,boys,born in Sweden with two foreign born parents,625,640,684,746,782,812,833,920,993,1009,1040,1095,1201,1306,1409,1563,1695,1789,1860
10 Blekinge county,boys,born in Sweden with one parent born in Sweden and one foreign born parent,1242,1252,1266,1287,1295,1292,1294,1288,1277,1243,1264,1284,1304,1340,1396,1401,1420,1419,1417
10 Blekinge county,boys,born in Sweden with two parents born in Sweden,13297,13294,13180,13077,12914,12705,12500,12260,12066,11867,11735,11646,11669,11659,11636,11614,11476,11491,11412
10 Blekinge county,girls,foreign born,659,637,669,669,719,756,820,833,829,851,883,1049,1264,1555,1832,1975,2017,2029,1873
10 Blekinge county,girls,born in Sweden with two foreign born parents,564,596,611,645,691,751,770,832,875,930,980,1038,1170,1256,1367,1511,1664,1790,1845
10 Blekinge county,girls,born in Sweden with one parent born in Sweden and one foreign born parent,1198,1197,1198,1190,1198,1210,1198,1188,1196,1198,1212,1219,1256,1287,1331,1347,1360,1359,1350
10 Blekinge county,girls,born in Sweden with two parents born in Sweden,12546,12402,12312,12204,12201,12061,11780,11486,11237,11101,10900,10794,10733,10745,10742,10701,10677,10632,10534
12 Skåne county,boys,foreign born,8894,8734,8576,8390,8874,9536,10134,10347,10571,10854,11137,11588,12649,13772,15922,17934,18798,18764,18281
12 Skåne county,boys,born in Sweden with two foreign born parents,14296,14918,15560,16257,17164,17972,18870,19842,20648,21250,22089,22674,23485,24488,25498,26792,28044,29420,30711
12 Skåne county,boys,born in Sweden with one parent born in Sweden and one foreign born parent,13321,13505,13756,13874,14107,14389,14616,14947,15285,15702,16203,16793,17379,17976,18681,19241,19816,20291,20726
12 Skåne county,boys,born in Sweden with two parents born in Sweden,89181,89045,88494,87952,87209,86064,85081,84164,83375,82712,82240,82154,82484,83008,83553,83890,84264,84386,84410
12 Skåne county,girls,foreign born,8683,8544,8394,8215,8601,9055,9518,9767,9919,10082,10412,11061,11861,12819,14170,15727,16911,17303,16968
12 Skåne county,girls,born in Sweden with two foreign born parents,13574,14118,14710,15315,16061,16793,17697,18597,19377,20096,20873,21579,22333,23241,24265,25445,26563,27928,28968
12 Skåne county,girls,born in Sweden with one parent born in Sweden and one foreign born parent,12774,12978,13125,13295,13524,13771,14042,14358,14649,15045,15469,15991,16560,17098,17763,18350,18772,19167,19700
12 Skåne county,girls,born in Sweden with two parents born in Sweden,84864,84435,83866,83241,82494,81635,80563,79672,79041,78307,77794,77733,78012,78449,78921,79327,79537,79904,79952
13 Halland county,boys,foreign born,1601,1553,1477,1412,1406,1337,1346,1333,1377,1431,1516,1664,1930,2276,2800,3047,3243,3350,3283
13 Halland county,boys,born in Sweden with two foreign born parents,1702,1783,1868,1984,2075,2165,2247,2337,2386,2409,2477,2545,2695,2843,3025,3286,3514,3772,4008
13 Halland county,boys,born in Sweden with one parent born in Sweden and one foreign born parent,2994,2998,3030,3062,3086,3053,3084,3116,3170,3169,3236,3266,3346,3445,3546,3699,3818,3912,3978
13 Halland county,boys,born in Sweden with two parents born in Sweden,26887,26935,26946,26987,26998,26742,26306,26141,25944,25693,25564,25529,25707,25742,26019,26158,26301,26417,26334
13 Halland county,girls,foreign born,1464,1471,1446,1354,1364,1344,1350,1358,1368,1366,1412,1544,1787,2117,2504,2720,2922,3043,3020
13 Halland county,girls,born in Sweden with two foreign born parents,1729,1810,1859,1970,2023,2165,2230,2268,2340,2380,2434,2500,2581,2731,2925,3132,3369,3612,3821
13 Halland county,girls,born in Sweden with one parent born in Sweden and one foreign born parent,2776,2833,2888,2951,2997,3005,3023,3047,3070,3098,3125,3205,3304,3388,3503,3591,3665,3787,3879
13 Halland county,girls,born in Sweden with two parents born in Sweden,25331,25380,25341,25275,25159,24931,24557,24321,24130,23916,23732,23678,23807,23919,24186,24382,24570,24667,24709
14 Västra Götaland county,boys,foreign born,9709,9363,9034,8734,8841,8975,9214,9304,9497,9853,10578,11950,13230,14611,16453,17834,18518,18576,18047
14 Västra Götaland county,boys,born in Sweden with two foreign born parents,15545,16121,16757,17340,17984,18594,19154,19752,20374,20919,21538,22169,23040,24051,25315,26694,28121,29641,30799
14 Västra Götaland county,boys,born in Sweden with one parent born in Sweden and one foreign born parent,17416,17492,17720,17886,18022,18224,18313,18540,18861,19050,19331,19764,20260,20831,21526,22105,22693,23012,23382
14 Västra Götaland county,boys,born in Sweden with two parents born in Sweden,127121,126405,125576,124563,123061,121508,119486,117729,116173,114918,114005,113773,114094,114511,114849,115020,115044,114978,115048
14 Västra Götaland county,girls,foreign born,9159,8953,8795,8481,8637,8772,9061,9229,9346,9651,10211,11396,12507,13599,15058,16269,17186,17431,17077
14 Västra Götaland county,girls,born in Sweden with two foreign born parents,14616,15136,15744,16376,17103,17749,18226,18822,19412,19915,20472,21063,21981,22959,24211,25426,26593,27965,29025
14 Västra Götaland county,girls,born in Sweden with one parent born in Sweden and one foreign born parent,16514,16693,16857,17079,17215,17278,17363,17544,17803,18068,18454,18932,19413,19901,20495,20909,21451,21778,21958
14 Västra Götaland county,girls,born in Sweden with two parents born in Sweden,120074,119361,118544,117309,116168,114748,112704,111053,109827,108186,106998,106790,106877,107094,107584,107619,107966,108081,107992
17 Värmland county,boys,foreign born,1196,1231,1250,1303,1367,1394,1454,1512,1538,1545,1661,1842,2005,2199,2784,2932,2937,2888,2782
17 Värmland county,boys,born in Sweden with two foreign born parents,825,876,958,1025,1106,1156,1180,1274,1326,1352,1418,1495,1593,1737,1948,2171,2341,2561,2696
17 Värmland county,boys,born in Sweden with one parent born in Sweden and one foreign born parent,2371,2361,2388,2394,2404,2429,2418,2427,2420,2430,2424,2457,2459,2509,2544,2610,2643,2640,2672
17 Värmland county,boys,born in Sweden with two parents born in Sweden,24901,24598,24227,23858,23344,22895,22217,21573,21055,20584,20411,20188,20066,20073,20189,20220,20283,20280,20352
17 Värmland county,girls,foreign born,1124,1173,1198,1260,1324,1396,1439,1415,1426,1438,1503,1695,1866,2084,2553,2673,2727,2686,2612
17 Värmland county,girls,born in Sweden with two foreign born parents,795,866,925,985,1059,1088,1155,1192,1237,1256,1318,1392,1465,1586,1773,1990,2170,2350,2486
17 Värmland county,girls,born in Sweden with one parent born in Sweden and one foreign born parent,2327,2315,2319,2300,2321,2322,2300,2319,2332,2346,2337,2335,2363,2408,2435,2457,2491,2488,2534
17 Värmland county,girls,born in Sweden with two parents born in Sweden,23621,23411,23028,22604,22210,21747,21136,20520,20022,19630,19395,19183,19120,19025,19014,19040,19105,19036,18998
18 Örebro county,boys,foreign born,1713,1665,1635,1577,1676,1747,1888,1970,1998,2016,2189,2418,2569,2807,3193,3414,3491,3475,3308
18 Örebro county,boys,born in Sweden with two foreign born parents,2262,2359,2486,2607,2756,2902,3072,3208,3372,3462,3551,3726,3887,4062,4340,4592,4816,5059,5301
18 Örebro county,boys,born in Sweden with one parent born in Sweden and one foreign born parent,2719,2722,2700,2691,2665,2658,2678,2649,2623,2666,2724,2764,2847,2928,3001,3112,3172,3236,3273
18 Örebro county,boys,born in Sweden with two parents born in Sweden,23570,23405,23084,22832,22513,22138,21771,21330,21091,20940,20754,20711,20773,20799,20824,20875,20943,20997,20987
